run_id,config,seed,epochs,lr_mult,params,status,reason,best_epoch,tune_patient_kl_best,wall_min,examples_seen,peak_cuda_gib,peak_rss_gib,tag,tune_patient_kl,tune_row_kl,tune_macro_auroc,tune_balanced_acc,tune_soft_ece,gate_mean,tune_disagreement_spearman,kl_vote10plus,description
dev_A1_s101_4455edaa_2406ce59_cb621ea3,A1,101,12.0,1.0,147524,PASS,,2.0,1.0010730983054617,4.6,771504.0,0.44,7.39,,1.00107308479515,0.9554819064190264,0.8328809379959855,0.5127324732310834,0.0585384096487447,0.5,,0.9705518349555834,B2 + foveated local bins
dev_A2_s101_4455edaa_2406ce59_0a1ef11a,A2,101,12.0,1.0,155877,PASS,,1.0,0.9903073622238014,4.7,771504.0,0.44,7.38,,0.9903073486767904,0.9547714812145308,0.8444078906147968,0.5374793800751043,0.0574197041261075,0.5652262568473816,,0.9340653664901768,A1 + learned gate (auxiliary loss off)
dev_cpu_baselines_4455edaa_2406ce59,B0,0,,,0,PASS,,,,,,,,,1.4100661231021274,1.3972886637021107,,,,,,,training-set empirical soft class prior
dev_cpu_baselines_4455edaa_2406ce59,B1,0,,,450,PASS,,,,,,,,,1.2405447845182092,1.2202915697889838,,,,,,,CPU band-power soft-label logistic regression
dev_B2_s101_4455edaa_2406ce59_56b0bff3,B2,101,12.0,1.0,147524,PASS,,2.0,0.9862376584961569,4.4,771504.0,0.44,7.41,,0.9862376447609912,0.9585552138991628,0.8410377641299004,0.5353675173370265,0.0459535067699554,0.5,,0.902539815457216,"compact trunk, uniform local bins, fixed 50:50 fusion, no auxiliary head (byte-matched control)"
dev_B3_s101_4455edaa_2406ce59_1468c89c,B3,101,3.0,1.0,1524150,PASS,,3.0,0.9266079544630343,1.1,192876.0,0.43,7.26,,0.9266079403599992,0.8750975128771441,0.8853842963776315,0.5629025416625723,0.1142934738282932,0.5,,0.9195902911273584,"timm MobileNetV3-Small (ImageNet, 4-channel adaptation) on the same cached evidence"
dev_B3_s101_4455edaa_2406ce59_35e6013c,B3,101,12.0,1.0,1524150,PASS,,3.0,0.8958896722448376,4.8,771504.0,0.43,7.28,,0.8958896579638898,0.8992566722516162,0.8740646422314046,0.5317378970679987,0.1146153785079653,0.5,,0.9738657459283658,"timm MobileNetV3-Small (ImageNet, 4-channel adaptation) on the same cached evidence"
dev_P_s101_4455edaa_2406ce59_385fb705,P,101,3.0,1.0,164134,PASS,,3.0,0.9269702142979406,1.3,192876.0,0.44,7.56,,0.9269702005033807,0.9015456305727672,0.8588101953998093,0.5427463685583932,0.0914829095744407,0.3385198414325714,0.3349525064084487,0.9323917536923828,A2 + disagreement auxiliary loss (full prespecified candidate)
dev_P_s101_4455edaa_2406ce59_c6dac984,P,101,12.0,1.0,164134,PASS,,2.0,0.9828419178281144,5.2,771504.0,0.44,7.57,,0.9828419044123766,0.9356072474199412,0.8415240005457689,0.5216666454910225,0.0864921205223102,0.3885453045368194,0.2365830375737962,0.877806681800508,A2 + disagreement auxiliary loss (full prespecified candidate)
dev_P_MSF_s101_4455edaa_2406ce59_4611f609,P_MSF,101,12.0,1.0,208070,PASS,,1.0,0.9875494772778144,6.0,771504.0,0.49,7.57,,0.9875494636414468,0.9679098733613632,0.8380197128279955,0.5096321525000933,0.0658401028989934,0.4002309739589691,0.3718916464035288,0.9475443018887,P with an economical multi-scale temporal fusion block replacing the last residual block (exploratory)
