comparison,key,mean_delta,sd,n_seeds,per_seed
A1 - B2,foveation,-0.0007608884341652004,0.03474236240578637,3,"[array([-0.0145,  0.0304]), array([0.0116, 0.0186]), array([ 0.0144, -0.065 ])]"
A2 - A1,gate,0.011066927363158377,0.03569713239403752,3,"[array([ 0.0333, -0.0404]), array([ 0.0234, -0.0134]), array([0.0033, 0.0602])]"
P - A2,aux,-0.0003086561326614186,0.05571762883201029,3,"[array([-0.0861,  0.0239]), array([-0.0059,  0.0519]), array([ 0.0556, -0.0413])]"
P - B2,all,0.009997382796331758,0.05606712636496142,3,"[array([-0.0673,  0.0139]), array([0.0291, 0.0571]), array([ 0.0733, -0.046 ])]"
B3 - B3S,pretrain,-0.25044824561926776,0.08600046813478772,3,"[array([-0.1228, -0.3695]), array([-0.1888, -0.3005]), array([-0.2597, -0.2613])]"
B3 - B3H,width,-0.19263602385656453,0.04007860479616349,3,"[array([-0.1488, -0.2299]), array([-0.2347, -0.1904]), array([-0.1414, -0.2107])]"
B3 - B2,bthreevsbtwo,-0.08081401298569964,0.02372388375079306,3,"[array([-0.0677, -0.1073]), array([-0.0816, -0.0709]), array([-0.0485, -0.109 ])]"
P - B3,pvsbthree,0.0908113957820314,0.050227891085460274,3,"[array([0.0004, 0.1212]), array([0.1106, 0.128 ]), array([0.1217, 0.0629])]"
B3S - P,scratchvsp,0.1596368498372364,0.06002991863568033,3,"[array([0.1225, 0.2483]), array([0.0782, 0.1725]), array([0.138 , 0.1984])]"
B3H - P,halfvsp,0.10182462807453313,0.051218290148475516,3,"[array([0.1484, 0.1087]), array([0.124 , 0.0624]), array([0.0197, 0.1477])]"
