config,seed,tune_kl,aurc_entropy,spearman_d,mse_d,aurc_dhat
A2,101,1.0131089360209522,0.4444197007895142,,,
A2,101,0.9650869564730323,0.4252882425116333,,,
A2,202,0.9968930033729475,0.47513115322619237,,,
A2,202,0.976182941565211,0.4289269097121328,,,
A2,303,0.9974064270755648,0.43757391079681085,,,
A2,303,0.9944732640265684,0.44090156318013557,,,
P,101,0.9269702005033807,0.40165391885181373,0.33495250640844876,0.08436062412628631,0.43546556562097605
P,101,0.9890071302617561,0.4670781233150415,0.28962250171594134,0.08886394460414296,0.48913586725765856
P,202,0.9910130416662615,0.41602699434935664,0.2995180648472052,0.08979259737206413,0.44906359116813516
P,202,1.0281197337066117,0.47819633201886436,0.3360974798731253,0.08839663602088046,0.5060267331279746
P,303,1.053019534433171,0.5213526927376639,0.2933311472627989,0.09146572999459933,0.5478780940610462
P,303,0.9531699517061953,0.43952789448187235,0.322120054382648,0.08776276718415531,0.4689570409649271
P_DM,101,0.9514768419207765,0.4115866649512547,0.31066133176541405,0.09332459388950162,0.44378228738528197
P_DM,202,1.0394217417539722,0.4676343863739627,0.27741870420483555,0.1025611388892913,0.47522477271253566
P_DM,303,1.001405243765798,0.4721142708897809,0.3426433087072066,0.09176832192500764,0.4970740459772694
